T1118,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།.txt
N,1-82_ཐམས་ཅད་གྲུབ་པ་དཔལ་འཕེལ་ལྷ་མོ་ལ་བསྟོད་པ།.txt
N,1-83_སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མ་ལ་བསྟོད་པ།.txt
N,1-84_ནག་པོ་ཆེན་པོ་ཕྱག་བཞི་པའི་སྒྲུབ་ཐབས།.txt
N,1-85_གླང་པོ་རིན་པོ་ཆེ་ལ་ནོར་བླང་བའི་མན་ངག.txt
T3824,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།.txt
T3825,1-88_རིགས་པ་དྲུག་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།.txt
T1127,1-9_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ།.txt
T3826,1-90_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།.txt
T3827,1-91_སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།.txt
T3828,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།.txt
T3830,1-93_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
T3831,1-94_སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་འགྲེལ་པ།.txt
T3832,1-95_རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།.txt
T2248,1-97_ཐེག་པ་ཆེན་པོ་ཉི་ཤུ་པ།.txt
T3834,1-98_ཡི་གེ་བརྒྱ་པ།.txt
T3835,1-99_ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།.txt
T3835,1-99_ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།.txt
T2213,117_འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་སྒྲུབ་ཐབས་ཀྱི་མན་ངག་རྒྱ་ཆེར་བཤད་པའི་འགྲེལ་པ།.txt
T2225,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་དབབ་པ།.txt
T2278,120_ཚིགས་སུ་བཅད་པ་ཕྱེད་དང་ལྔ་ཞེས་བྱ་བ།.txt
T2449,145_དཔལ་ཨུ་རྒྱན་དུ་ཚོགས་འཁོར་བྱས་པའི་དུས་སུ་རྣལ་འབྱོར་པ་གྲུབ་པ་ཐོབ་པ་བཞི་བཅུས་རྡོ་རྗེའི་མགུར་བཞེངས་པ་ཉམས་ཀྱི་མན་ངག་ཐིག་ལེ་གསེར་གྱི་ཕྲེང་བ།།.txt
T2473,149_དབང་གི་རིམ་པ་བསྟན་པ་ཞེས་བྱ་བ།.txt
N,291_མགོན་པོ་བྱ་རོག་གདོང་གི་གཏོར་མདོས།.txt
T1759,564_དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།.txt
T1778,63_དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་བརྒྱད་པ་ཞེས་བྱ་བ།.txt
T1773,64_དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།.txt
T3991,10-10_འཕགས་པ་ག་ཡ་མགོའི་རི་ཞེས་བྱ་བའི་མདོའི་རྣམ་པར་བཤད་པ།.txt
T3994,10-11_འཕགས་པ་བློ་གྲོས་མི་ཟད་པས་བསྟན་པ་རྒྱ་ཆེར་འགྲེལ་པ།.txt
T4026,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།.txt
T4027,10-13_དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ།.txt
T4028,10-14_ཆོས་དང་ཆོས་ཉིད་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ།.txt
T4050,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།.txt
T4052,10-16_དོན་གསང་བ་རྣམ་པར་ཕྱེ་བ་བསྡུས་ཏེ་བཤད་པ།.txt
T4055,10-17_སུམ་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།.txt
T4056,10-18_ཉི་ཤུ་པའི་ཚིག་ལེའུར་བྱས་པ།.txt
T4057,10-19_ཉི་ཤུ་པའི་འགྲེལ་པ།.txt
T1146,10-1_དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ།.txt
T4058,10-20_རང་བཞིན་གསུམ་ངེས་པར་བསྟན་པ།.txt
T3995,10-21_རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་དང་པོའི་རྣམ་པར་དབྱེ་བ་བཤད་པ།.txt
T3866,10-22_ཕུང་པོ་ལྔའི་རབ་ཏུ་བྱེད་པ།.txt
T4060,10-23_རྣམ་པར་བཤད་པ་རིགས་པའི་མདོ་སྡེའི་དུམ་བུ་བརྒྱ།.txt
T4061,10-24_རྣམ་པར་བཤད་པའི་རིགས་པ། (1).txt
T4062,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།.txt
T4063,10-26_ཐེག་པ་ཆེན་པོའི་ཆོས་བརྒྱ་གསལ་བའི་སྒོའི་བསྟན་བཅོས།.txt
T4089,10-27_ཆོས་མངོན་པའི་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ།.txt
T4102,10-28_བསྟན་བཅོས་ཚིགས་སུ་བཅད་པ་བསྡུས་པ།.txt
T4163,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།.txt
T2694,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།.txt
T4164,10-30_ཚུལ་ཁྲིམས་ཀྱི་གཏམ།.txt
T4166,10-31_ཚོགས་ཀྱི་གཏམ།.txt
T4180,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།.txt
T4090,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ། (A).txt
T4090,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B).txt
T4015,10-34_འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་འགྲེལ་པ།.txt
T4103,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ་ཞེས་བྱ་བའི་བསྟན་བཅོས།.txt
T3808,10-3_འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་འབུམ་པ་དང་ཉི་ཁྲི་ལྔ་སྟོང་པ་དང་ཁྲི་བརྒྱད་སྟོང་པའི་རྒྱ་ཆེར་བཤད་པ།.txt
T3993,10-40_འཕགས་པ་ས་བཅུ་པའི་རྣམ་པར་བཤད་པ།.txt
T3816,10-4_འཕགས་པ་བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།།.txt
T3987,10-5_སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་རྒྱ་ཆེར་འགྲེལ་པ།.txt
T3988,10-6_ཚིགས་སུ་བཅད་པ་གཅིག་པའི་བཤད་པ།.txt
T2694,10-7_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།.txt
T3990,10-8_འཕགས་པ་ཆོས་བཞི་པའི་རྣམ་པར་བཤད་པ།.txt
T4203,11-10_ཚད་མ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
N,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།.txt
T4205,11-14_དམིགས་པ་བརྟག་པ།.txt
T4206,11-15_དམིགས་པ་བརྟག་པའི་འགྲེལ་པ།.txt
T4207,11-16_དུས་གསུམ་བརྟག་པ་ཞེས་བྱ་བ།.txt
N,11-17_ཚད་མ་རིགས་པར་འཇུག་པའི་སྒོ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
T4209,11-18_གཏན་ཚིགས་ཀྱི་འཁོར་ལོ་གཏན་ལ་དབབ་པ།.txt
T1150,11-1_སྤེལ་མར་བསྟོད་པ།.txt
T4095,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།.txt
T4208,11-21_ཚད་མའི་བསྟན་བཅོས་རིགས་པ་ལ་འཇུག་པ།.txt
N,11-27_ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ།.txt
T1156,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།.txt
T1157,11-3_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།.txt
N,11-4_ཨེ་ཀ་ནཱ་ཐའི་དོན་འགྲེལ།.txt
T2712,11-5_འཕགས་པ་འཇམ་པའི་དབྱངས་ཀྱི་བསྟོད་པ།.txt
T3809,11-6_འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མ་བསྡུས་པའི་ཚིག་ལེའུར་བྱས་པ།.txt
T4012,11-7_ཀུན་ཏུ་བཟང་པོའི་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོའི་བཤད་པ།.txt
T4074,11-9_རྣལ་འབྱོར་ལ་འཇུག་པ།.txt
T4216,12-10_ཚད་མ་རྣམ་འགྲེལ་གྱི་འགྲེལ་པ།.txt
T4218,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
T1158,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།.txt
T1442,12-2_དཔལ་རྡོ་རྗེ་མཁའ་འགྲོའི་བསྟོད་པ་རྒྱུན་ཆགས།.txt
T4210,12-3_ཚད་མ་རྣམ་འགྲེལ་གྱི་ཚིག་ལེའུར་བྱས་པ།.txt
T4211,12-4_ཚད་མ་རྣམ་པར་ངེས་པ།.txt
T4212,12-5_རིགས་པའི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
T4213,12-6_གཏན་ཚིགས་ཀྱི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
T4214,12-7_འབྲེལ་པ་བརྟག་པའི་རབ་ཏུ་བྱེད་པ།.txt
T4215,12-8_འབྲེལ་པ་བརྟག་པའི་འགྲེལ་པ།.txt
T4219,12-9_རྒྱུད་གཞན་གྲུབ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
T3787,13-1_འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པའི་ཚུལ་གྱི་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ།.txt
T3788,13-2_འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་ཚིག་ལེའུར་བྱས་པའི་རྣམ་པར་འགྲེལ་པ།.txt
T2341,140_ལྷན་ཅིག་སྐྱེས་པའི་གླུ།.txt
T3790,14-1_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ།_(A).txt
T3790,14-1_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ།_(C).txt
T3791,14-2_འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བརྒྱད་སྟོང་པའི་བཤད་པ་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་སྣང་བ་།.txt
T3792,14-3_བཅོམ་ལྡན་འདས་ཡོན་ཏན་རིན་པོ་ཆེ་སྡུད་པའི་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།.txt
T2444,144_གྲུབ་ཐོབ་ལྔ་བཅུའི་རྟོགས་པ་བརྗོད་པ་ཐིག་ལེ་འོད་ཀྱི་ཕྲེང་བ།.txt
T3793,14-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་ཞེས་བྱ་བའི་འགྲེལ་པ།.txt
T3898,14-5_ལྟ་བ་ཐ་དད་པ་རྣམ་པར་ཕྱེ་བ་མདོར་བསྡུས་པ།.txt
T3798,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།.txt
T4044,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།.txt
T4045,15-2_བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱི་ལེའུ་བཤད་པ།.txt
T4067,15-3_ཕུང་པོ་ལྔའི་རྣམ་པར་འགྲེལ་པ།.txt
T4117,15-4_འདུལ་བའི་མདོ།.txt
T4118,15-5_ལས་བརྒྱ་རྩ་གཅིག་པ།.txt
T4119,15-6_འདུལ་བའི་མདོའི་འགྲེལ་པ་མངོན་པར་བརྗོད་པ་རང་གི་རྣམ་པར་བཤད་པ།.txt
T4119,15-7_འདུལ་བའི་མདོའི་འགྲེལ་པ་མངོན་པར་བརྗོད་པ་རང་གི་རྣམ་པར་བཤད་པ།.txt
T2654,157_མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས།.txt
T4124,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།.txt
