D1109	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
D1182	དཔལ་དགྱེས་པའི་རྡོ་རྗེ་རྣམ་བཤད་རྣམ་པར་འགྲེལ་པ་ཞེས་བྱ་བ
D1183	དགྱེས་པ་རྡོ་རྗེའི་དཀའ་འགྲེལ་རྣལ་འབྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ
D1184	རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་ཁྱེའི་རྡོ་རྗེའི་འགྲེལ་བཤད་ཁ་སྦྱར་ཤིན་ཏུ་དྲི་མ་མེད་པ་ཞེས་བྱ་བ
D1185	ཀཽ་མུ་དའི་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
D1186	རྡོ་རྗེའི་ཚིག་གི་སྙིང་པོ་བསྡུད་པའི་དཀའ་འགྲེལ
D1187	རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དགྱེས་པའི་རྡོ་རྗེ་ཞེས་བྱ་བ་སྒྱུ་མ་བརྟག་པ་གཉིས་པའི་དཀའ་འགྲེལ་དྲན་པའི་འབྱུང་གནས་ཞེས་བྱ་བ
D1188	ཀྱེའི་རྡོ་རྗེ་ཞེས་བྱ་བའི་རྒྱུད་ཀྱི་རྒྱལ་པོའི་འགྲེལ་པ
D1189	དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་མུ་ཏིག་ཕྲེང་བ་ཞེས་བྱ་བ
D1190	རབ་ཏུ་གསལ་བའི་ཁ་སྦྱོར་གྱི་རྒྱ་ཆེར་འགྲེལ་པ་ཞེས་བྱ་བ
D1191	རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད་ཅེས་བྱ་བ
D1192	དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་རྡོ་རྗེའི་ཚིག་བཏུ་བ་ཞེས་བྱ་བ
D1193	དཔལ་དགྱེས་པའི་རྡོ་རྗེ་ཞེས་བྱ་བའི་རྒྱུད་ཀྱི་དོན་བསྡུས་པ
D1194	རྒྱུད་ཀྱི་རྒྱལ་པོ་མཁའ་འགྲོ་མ་རྡོ་རྗེ་གུར་གྱི་དཀའ་འགྲེལ་ཞལ་ནས་བརྒྱུད་པ་ཞེས་བྱ་བ
D1195	འཕགས་པ་མཁའ་འགྲོ་མ་རྡོ་རྗེ་གུར་ཞེས་བྱ་བའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་བརྟག་པའི་རྒྱལ་པོའི་བཤད་སྦྱར
D1196	རྒྱུད་ཀྱི་རྒྱལ་པོ་མཁའ་འགྲོ་མ་རྡོ་རྗེ་དྲ་བའི་དཀའ་འགྲེལ་དེ་ཁོ་ན་ཉིད་རྒྱས་པ་ཞེས་བྱ་བ
D1197	དཔལ་ཁ་སྦྱོར་ཐིག་ལེ་ཞེས་བྱ་བ་རྣལ་འབྱོར་མའི་རྒྱུད་ཀྱི་རྒྱལ་པོའི་རྒྱ་ཆེར་འགྲེལ་པ་ཡང་པར་ལྟ་བའི་དྲན་པའི་སྣང་བ་ཞེས་བྱ་བ
D1198	དཔལ་ཡང་དག་པར་སྦྱོར་བའི་རྒྱུད་ཀྱི་རྒྱལ་པོའི་རྒྱ་ཆེར་འགྲེལ་པ་མན་ངག་གི་སྙེ་མ་ཞེས་བྱ་བ
D1199	རྒྱུད་ཐམས་ཅད་ཀྱི་གླེང་གཞི་དང་གསང་ཆེན་དཔལ་ཀུན་ཏུ་ཁ་སྦྱོར་ཞེས་བྱ་བའི་རྒྱུད་ཀྱི་རྒྱལ་པོའི་རྒྱ་ཆེར་བཤད་པ་རིན་ཆེན་ཕྲེང་བ་ཞེས་བྱ་བ
D1200	དཔལ་ཟབ་མོའི་དོན་གསལ་བ་རྨད་དུ་བྱུང་བ་ཆེན་པོ་ཞེས་བྱ་བ
D1201	དགའ་བའི་སྤྱན་ཞེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་པ
D1202	དཔལ་ལྷན་ཅིག་སྐྱེས་པའི་དགའ་བའི་སྒྲོན་མ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
D1203	དཔལ་ཡེ་ཤེས་ཐིག་ལེའི་དཀའ་འགྲེལ་གསང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ
D1204	དཔལ་རྙོག་པ་མེད་པ་ཞེས་བྱ་བའི་རྒྱུད་ཀྱི་འགྲེལ་པ
D1205	དཔལ་དེ་ཁོ་ན་ཉིད་ཀྱི་སྒྲོན་མའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་རིན་ཆེན་ཕྲེང་བ་ཞེས་བྱ་བ
D1206	དགོངས་པའི་སྐད་ཀྱི་འགྲེལ་པ
D1207	གླུའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ
D1208	རྡོ་རྗེའི་གླུ་བཤད་པ་ཞེས་བྱ་བ
D1209	མངོན་པར་རྟོགས་པའི་རིམ་པ་ཞེས་བྱ་བ
D1210	དབྱིག་གུ་དྲུག་ཅུ་རྩ་བཞིའི་མཚན་ཉིད
D1211	ཀྱེ་རྡོ་རྗེའི་དེ་ཁོ་ན་ཉིད་རྣམ་པར་ཕྱེ་བ
D1212	དུར་ཁྲོད་བརྒྱད་ཅེས་བྱ་བ
D1213	དུར་ཁྲོད་བརྒྱད་ཅེས་བྱ་བ
D1214	བརྡ་ངེས་པར་གཟུང་བ
D1215	གནས་ལ་སོགས་པ་གཏན་ལ་དབབ་པ
D1216	དུར་ཁྲོད་བརྒྱད་ཀྱི་གཤད་པ
D1217	དཔལ་རིན་པོ་ཆེ་སྙེ་མ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་པ
D1218	དཔལ་དགྱེས་པ་རྡོ་རྗེའི་སྒྲུབ་ཐབས
D1219	ཀྱེ་རྡོ་རྗེའི་དཀྱིལ་འཁོར་གྱི་ལས་ཀྱི་རིམ་པའི་ཆོ་ག
D1220	དཔལ་ཀྱེ་རྡོ་རྗེའི་མར་མེའི་རྩེ་མོ་ལྟ་བུའི་གདམས་པ་ཞེས་བྱ་བ
D1221	དགྱེས་པ་རྡོ་རྗེའི་མཎཌལ་གྱི་ཆོ་ག
D1222	ཀྱེ་རྡོ་རྗེའི་བསྟོད་པ
D1223	སྦྱིན་སྲེག་གི་ཆོ་ག
D1224	དམ་ཚིག་ལྔ་པ
D1225	རྗེ་བཙུན་དཔལ་ཀྱེ་རྡོ་རྗེའི་བྷ་ཊྚཱ་ར་ཀའི་བསྟོད་པ་ཞེས་བྱ་བ
D1226	དཔལ་དཔའ་བོ་གཅིག་པ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1227	དཔལ་ཀྱེ་རྡོ་རྗེ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1228	དཔལ་ཀྱེ་རྡོ་རྗེ་ལས་སྦྱིན་སྲེག་གི་ཆོ་ག
D1229	དེ་ཁོ་ན་ཉིད་བཅུ་པ
D1230	རྣལ་འབྱོར་ཕ་དང་རྣལ་འབྱོར་མ་རྣམས་ལ་ཐུན་མོང་མ་ཡིན་པའི་དོན་ལ་གདམས་པ་ཞེས་བྱ་བ
D1231	ཚོགས་ཀྱི་འཁོར་ལོའི་ཆོ་ག་ཞེས་བྱ་བ
D1232	དཔལ་ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས
D1233	ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས་ཀྱི་དཀའ་འགྲེལ
D1234	སློང་མོའི་འགྲེལ་པ་ཞེས་བྱ་བ
D1235	ཀྱེ་རྡོ་རྗེ་ཕྱག་གཉིས་པའི་སྒྲུབ་ཐབས
D1236	ཀྱེ་རྡོ་རྗེའི་དྲན་པ་གཅིག་པ
D1237	ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་ཐབས་ཀྱི་མདོར་བཤད་པ་དག་པ་རྡོ་རྗེ་སྒྲོན་མ་ཞེས་བྱ་བ
D1238	དཔལ་ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས་རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བ
D1239	ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D1240	དཀྱིལ་འཁོར་གྱི་ཆོ་གའི་སྒྲུབ་ཐབས་བཟང་པོ་ཡོང་སུ་བཟུང་བ་ཞེས་བྱ་བ
D1241	བྱུང་པོ་ཐམས་ཅད་ཀྱི་གཏོར་མ
D1242	དེ་ཁོ་ན་ཉིད་བཞི་པའི་མན་ངག་གསལ་བའི་སྒྲོན་མ་ཞེས་བྱ་བ
D1243	ཀྱེ་རྡོ་རྗེ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1244	ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས་རྣམ་པར་དག་པའི་གཏེར་ཞེས་བྱ་བ
D1245	ཁྲུལ་པ་སྤོང་བ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1246	ལྷན་ཅིག་སྐྱེས་པའི་རྣལ་འབྱོར་གྱི་རིམ་པ་ཞེས་བྱ་བ
D1247	ལྷན་ཅིག་སྐྱེས་པའི་རྣལ་འབྱོར་དམ་པའི་འགྲེལ་པ་སྙིང་པོ་རབ་ཏུ་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བ
D1248	བཅོམ་ལྡན་འདས་དགྱེས་པའི་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས་དེ་ཁོ་ན་ཉིད་བཞིའི་རིམ་པ་ཞེས་བྱ་བ
D1249	དཔལ་དགྱེས་པ་རྡོ་རྗེའི་སྒྲུབ་ཐབས
D1250	དཔལ་ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་ཐབས
D1251	རིན་ཆེན་འབར་བ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1252	དཔལ་དགྱེས་པ་རྡོ་རྗེ་དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས
D1253	དགྱེས་པའི་རྡོ་རྗེ་སྒྲུབ་པའི་ཐབས་དེ་ཁོ་ན་ཉིད་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བ
D1254	དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་གཞུང་འགྲེལ་གྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
D1255	སྦྱིན་སྒྲེག་གི་ཆོ་ག
D1256	དགྱེས་པའི་རྡོ་རྗེའི་སྦྱིན་སྲེག་གི་ཆོ་ག
D1257	རབ་གནས་ཀྱི་ཆོ་གའི་ཚུལ་ཞེས་བྱ་བ
D1258	ཚོགས་ཀྱི་འཁོར་ལོའི་མཆོད་པའི་རིམ་པ
D1259	མཆོད་རྟེན་གྱི་ཆོ་ག་ཞེས་བྱ་བ
D1260	གཤིན་གྱི་ཆོ་ག་ཞེས་བྱ་བ
D1261	དཔལ་ཧེ་རུ་ཀ་འབྱུང་བ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
D1262	དཔལ་ཧེ་རུ་ཀའི་མན་ངག་རང་བྱིན་ཀྱིས་བརླབས་པའི་རིམ་པ་ཞེས་བྱ་བ
D1263	ཀྱེའི་རྡོ་རྗེའི་དཀྱིལ་འཁོར་གྱི་ལས་ཀྱི་རིམ་པའི་ཆོ་ག
D1264	དགྱེས་པའི་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས
D1266	མན་ངག་རིམ་པ་གསུམ་པ་ཞེས་བྱ་བ
D1267	གོ་བར་བྱེད་པའི་སྙིང་པོ་བརྒྱ་པའི་མིང
D1268	དཔལ་དགྱེས་པ་རྡོ་རྗེའི་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ་ཞེས་བྱ་བ
D1269	དབང་བསྐུར་བའི་ཆོ་ག
D1270	ཧེ་རུ་ཀ་ཉེ་བར་འབྱུང་བ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
D1271	ཀྱེ་རྡོ་རྗེ་ཕྱག་གཉིས་པའི་སྒྲུབ་ཐབས
D1272	དགྱེས་པའི་རྡོ་རྗེའི་དབང་གཏན་ལ་དབབ་པ་ཞེས་བྱ་བ
D1273	དཔལ་ཁྲོ་བོ་བཅུའི་རིག་པའི་ཆོ་ག་ཞེས་བྱ་བ
D1274	གསང་བའི་དབང་གི་རབ་ཏུ་བྱེད་པ་ཞེས་བྱ་བ
D1275	དབང་ཆེན་པོ་རིམ་པ་གསུམ་པ་ཞེས་བྱ་བ
D1276	དགྱེས་པ་རྡོ་རྗེ་ཕྱག་གཉིས་པའི་སྒྲུབ་པའི་ཐབས
D1277	དཔལ་ཀྱེ་རྡོ་རྗེའི་མངོན་པར་རྟོགས་པའི་ཐིག་ལེ་ཞེས་བྱ་བ
D1278	ཆོས་སྤྱོད་མདོར་བསྡུས་པའི་བྱ་བ
D1279	སཱ་ཙྪ་བྱ་བའི་རིམ་པའི་ཆོ་ག
D1280	བུང་བ་འདོད་པའི་སྒྲུབ་ཐབས
D1281	གཏོར་མའི་དེ་ཁོ་ན་ཉིད་བསྡུས་པ
D1282	རོ་བསྲེག་ཆོ་ག
D1283	དཔའ་བོ་གཅིག་པ་དཔལ་ཧེ་རུ་ཀ་ཕྱག་བཅུ་དྲུག་པའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
D1284	སྤྱན་དབྱེ་བའི་ཆོ་ག
D1285	བཏོར་མའི་ཆོ་ག
D1286	གཏོར་མའི་ཆོ་ག
D1287	དཔལ་ཀྱེའི་རྡོ་རྗེའི་གཏོར་མའི་ཆོ་ག་ཞེས་བྱ་བ
D1288	ཀྱེའི་རྡོ་རྗེ་ཞེས་བྱ་བའི་གཏོར་མའི་ཆོ་ག
D1289	ཕྱག་མཚན་གྱི་ཕན་ཡོན
D1290	ཐིག་ལེ་ཆེན་པོའི་རིམ་པ་ཞེས་བྱ་བ
D1291	བཅོམ་ལྡན་འདས་ཀྱེའི་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས་མངོན་པར་རྟོགས་པའི་རིམ་པ་དོན་རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བ
D1292	དཔལ་དགྱེས་པ་རྡོ་རྗེའི་སྒྲུབ་ཐབས
D1293	དེ་ཁོ་ན་ཉིད་ཀྱི་སྣང་བ་ཞེས་བྱ་བ
D1294	དགྱེས་པ་རྡོ་རྗེའི་ལག་ཏུ་བླང་བའི་རིམ་པ་ཞེས་བྱ་བ
D1295	གཏོར་མའི་ཆོ་ག
D1296	དཔལ་དགྱེས་པ་རྡོ་རྗེའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
D1297	བརྩེ་བའི་རྡོ་རྗེ་ཕྱག་བཅུ་དྲུག་པའི་སྒྲུབ་པའི་ཐབས
D1298	དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་གཏོར་མའི་རིམ་པ
D1299	གཏོར་མའི་ལས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ
D1300	བྱུང་པོ་ཐམས་ཅད་ཀྱི་གཏོར་མའི་ཆོ་ག་ཞེས་བྱ་བ
D1301	ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས
D1302	དཔལ་ཀྱེའི་རྡོ་རྗེ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས་ཀྱི་མན་ངག
D1303	སྦྱིན་སྲེག་གི་ལས་ཀྱི་རིམ་པ
D1304	དཔལ་དགྱེས་པ་རྡོ་རྗེ་ལ་བསྟོད་པ
D1305	བདག་མེད་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས
D1306	བདག་མེད་མ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1307	བདག་མེད་མ་ལྷ་མོ་བཅོ་ལྔ་ལ་བསྟོད་པ
D1308	བདག་མེད་མའི་རབ་ཏུ་གསལ་བ
D1309	བདག་མེད་མའི་སྒྲུབ་ཐབས་རྒྱས་པར་བསྟན་པ་ཞེས་བྱ་བ
D1310	བདག་མེད་མ་དཔའ་མོ་གཅིག་པའི་སྒྲུབ་ཐབས་བསྐྱེད་པ་དང་རྫོགས་པར་ལྡན་པ་ཞེས་བྱ་བ
D1311	བདག་མེད་མའི་སྒྲུབ་པའི་ཐབས
D1312	བདག་མེད་མའི་མན་ངག་ཅེས་བྱ་བ
D1313	བདག་མེད་མའི་དཀྱིལ་འཁོར་གྱི་འཁོར་ལོའི་སྒྲུབ་ཐབས
D1314	དཔལ་ཀྱེའི་རྡོ་རྗེའི་རྒྱུད་ཀྱི་རིམ་པ་ལས་བདག་བྱིན་གྱིས་བརླབ་པ་ཀུ་རུ་ཀུ་ལླེའི་སྒྲུབ་ཐབས
D1314a	བླ་མའི་མན་ངག
D1315	དགྱེས་པའི་རྡོ་རྗེ་ལས་བྱུང་བའི་ཀུ་རུ་ཀུ་ལླེའི་སྒྲུབ་ཐབས
D1316	ཀྱེའི་རྡོ་རྗེ་ལས་བྱུང་བའི་ཀུ་རུ་ཀུ་ལླེའི་མན་ངག་ཆེན་པོ་ལྔ
D1317	འཕགས་མ་སྒྲོལ་མ་ཀུ་རུ་ཀུ་ལླེའི་བསྟོད་པ
D1318	ཀུ་རུ་ཀུ་ལླེའི་སྒྲུབ་པའི་ཐབས
D1319	མྱུར་མཛད་མའི་སྒྲུབ་ཐབས
D1320	མྱུར་མཛད་མའི་སྒྲུབ་ཐབས་བཅུ་གསུམ་པའི་བདག་ཉིད
D1321	མཁའ་འགྲོ་མ་རྡོ་རྗེ་གུར་གྱི་མཁའ་འགྲོ་རྣམ་པ་ལྔའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
D1322	དཔལ་མཁའ་འགྲོ་མ་རྡོ་རྗེ་གུར་གྱི་དཀྱིལ་འཁོར་བསྡུས་པ་ཞེས་བྱ་བའི་རྗེས་སུ་འབྲང་བའི་སྒྲུབ་ཐབས
D1323	དེ་ཁོ་ན་ཉིད་བཅུ་པ
D1324	རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས
D1325	འཕགས་པ་རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས
D1326	རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས
D1327	དཔལ་རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས
D1328	རོ་བསྲེག་པའི་ཆོ་ག་ཞེས་བྱ་བ
D1329	རོ་བསྲེག་བྱ་བ
D1330	གདུང་བསྲེག་པའི་ཆོ་ག
D1331	དཔལ་རིན་པོ་ཆེའི་ཆར་ཡང་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1332	དཔལ་རིན་ཆེན་ཐིགས་པ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1333	དབང་རིན་ཆེན་སྣང་བ
D1334	དཔལ་ཆེན་པོ་ཡེ་ཤེས་མཁའ་འགྲོའི་དབང་ཕྱུག་གི་སྒྲུབ་པའི་ཐབས
D1335	སྡིག་པ་ཐམས་ཅད་འདག་པའི་མེའི་མཆོད་པའི་ཏིང་ངེ་འཛིན་ཅེས་བྱ་བ
D1336	དཔལ་དགའ་བའི་མེ་ཏོག་གི་ཕྲེང་བ
D1337	དཔལ་དེ་ཁོ་ན་ཉིད་ཀྱི་བདུད་རྩིའི་མན་ངག
D1338	དབང་རིན་ཆེན་ཕྲེང་བའི་མན་ངག
D1339	དབང་གི་རིམ་པ་མདོར་བསྡུས་པ
D1340	རིམ་པ་ལྔ་པ་ཞེས་བྱ་བ
