Q2001	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
Q2049	གཤགས་པའི་བསྟོད་པའི་འགྲེལ་པ
Q2050	སངས་རྒྱས་དབང་བསྐུར་བ་ཞེས་བྱ་བའི་བསྟོད་པ
Q2051	བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས
Q2052	བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས་ཀྱི་རྒྱ་ཆེར་བཤད་པ
Q2053	དེ་བཞིན་གཤེགས་པ་ལྔ་ལ་བསྟོད་པ
Q2054	དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་བསྟོད་པ
Q2055	དེ་བཞིན་གཤེགས་པ་བརྒྱད་ལ་བསྟོད་པ
Q2056	རབ་ཏུ་སྔ་བར་ནམ་ལངས་པའི་བསྟོད་པ
Q2057	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་ཕྱག་འཚལ་བའི་བསྟོད་པ
Q2058	དེ་བཞིན་གཤེགས་པའི་མཚན་བརྗོད་བསྐལ་བཟང་རྒྱན་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ
Q2059	སྦྱོར་བ་བཞིའི་ལྷ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
Q2060	བླ་མ་དམ་པ་ཆོས་ཀྱི་རྒྱལ་པོ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
Q2061	དུས་མཆོད་ཆེན་པོ་བཞིའི་ཚིག་ལེའུར་བྱས་པ
Q2062	དཔལ་ཤཱ་ཀྱ་ཐུབ་པའི་བསྟོད་པ་བཅུ་པ་ཞེས་བྱ་བ
Q2063	ཨེ་ཀ་གཱ་ཐཱའི་དོན་འགྲེལ
Q2064	བསྡུས་པའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་དུས་ཀྱི་འཁོར་ལོའི་འགྲེལ་བཤད་རྩ་བའི་རྒྱུད་ཀྱི་རྗེས་སུ་འཇུག་པ་སྟོང་ཕྲག་བཅུ་པ་བཅུ་གཉིས་པ་དྲི་མ་མེད་པའི་འོད་ཅེས་བྱ་བ
Q2065	དཔལ་དོན་དམ་པའི་བསྙེན་པ
Q2066	དཔལ་ལྡན་དྲི་མ་དང་བྲལ་བའི་འོད་ཀྱི་རྒྱུད་ལ་འཇུག་པའི་བཤད་སྦྱར་སྙིང་པོ་སྣང་བ
Q2067	པདམ་ཅན་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
Q2068	དབང་མདོར་བསྟན་པའི་འགྲེལ་བཤད་དོན་དམ་པ་བསྡུས་པ་ཞེས་བྱ་བ
Q2069	དབང་མདོར་བསྟན་པའི་མདོར་བཤད
Q2070	དབང་མདོར་བསྟན་པའི་རྒྱ་ཆེར་འགྲེལ་པ་ཞེས་བྱ་བ
Q2071	དབང་མདོར་བསྟན་པའི་དཀའ་འགྲེལ
Q2072	རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་དུས་ཀྱི་འཁོར་ལོའི་དབང་གི་རབ་ཏུ་བྱེད་པའི་འགྲེལ་པ་རྡོ་རྗེའི་ཚིག་འབྱེད་པ་ཞེས་བྱ་བ
Q2073	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྒྲུབ་པའི་ཐབས་ཡན་ལག་བཞི་པ་ཞེས་བྱ་བ
Q2074	དཔལ་ལྡན་རྒྱུ་སྐར་གྱི་དཀྱིལ་འཁོར་གྱི་སྒྲུབ་ཐབས་ཡན་ལག་བཅུ་གཅིག་པ་ཞེས་བྱ་བ
Q2075	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
Q2076	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
Q2077	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་དཀྱིལ་འཁོར་ཆོ་ག
Q2078	དཔལ་དུས་ཀྱི་འཁོར་ལོ་ལྷན་ཅིག་སྐྱེས་པ་སྒྲུབ་པའི་ཐབས
Q2079	དཔལ་དུས་ཀྱི་འཁར་ལོ་སྐད་ཅིག་གིས་བསྐྱེད་པའི་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2080	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ
Q2081	དཔལ་དུས་ཀྱི་འཁོར་ལོ་སྙིང་པོའི་རྒྱན་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
Q2082	དུས་ཀྱི་འཁོར་ལོའི་མན་ངག
Q2083	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ
Q2084	སྦྱོར་བ་ཡན་ལག་དྲུག་པའི་འགྲེལ་པ
Q2085	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་གདམས་ངག་ཉི་མ་ཟླ་བ་སྒྲུབ་པ་ཞེས་བྱ་བ
Q2086	ཡེ་ཤེས་སྤྱན་སྒྲུབ་པ་ཞེས་བྱ་བ
Q2087	རྣལ་འབྱོར་གསུམ་གྱི་སྙིང་པོ་གསལ་བ་ཞེས་བྱ་བ
Q2088	སྦྱོར་བ་ཡན་ལག་དྲུག་གི་མན་ངག་རྗེ་དུས་འཁོར་ཞབས་ཀྱི་༼ས༽་མཛད་པའི་སྙན་རྒྱུད་ཞལ་གྱི་གདམས
Q2089	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་མན་ངག་སྦྱོར་བ་ཡན་ལག་དྲུག་གི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་ཞེས་བྱ་བ
Q2090	ཡན་ལག་དྲུག་གི་སྦྱོར་བའི་མན་ངག
Q2091	རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ
Q2092	སྦྱོར་བའི་ཕྲེང་བ
Q2093	ནང་གི་སྙེ་མ་ཞེས་བྱ་བ
Q2094	རྡོ་རྗེ་ཐེག་པ་དུས་ཀྱི་འཁོར་ལོའི་རྩ་བའི་ལྟུང་བ
Q2095	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྡོམ་ཚིག
Q2096	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་བསྟོད་པ་རྒྱུན་ཆགས་པ་ཞེས་བྱ་བ
Q2097	བརྒྱད་བརྒྱད་དྲུག་ཅུ་རྩ་བཞིའི་རྣལ་འབྱོར་མ་རྣམས་ཀྱི་གཏོར་མའི་ཆོ་ག་ཞེས་བྱ་བ
Q2098	དུས་ཀྱི་འཁོར་ལོ་ལ་འཇུག་པ་ཞེས་བྱ་བ
Q2099	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་རྩིས་ཀྱི་མན་ངག་ཅེས་བྱ་བ
Q2100	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་རྩིས་ཀྱི་མན་ངག་ཅེས་བྱ་བ
Q2101	གཟའ་ལྔ་སོ་སོའི་རྩིས་ཀྱི་མན་ངག་ཅེས་བྱ་བ
Q2102	སྦྱོར་བ་ཡན་ལག་དྲུག་པ
Q2103	རྣལ་འབྱོར་ཡན་ལག་དྲུག་གི་བརྗེད་བྱང་ཡོན་ཏན་གྱིས་འགེངས་པ་ཞེས་བྱ་བ
Q2104	དབང་མདོར་བསྟན་པའི་བརྗེད་བྱང
Q2105	རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས
Q2106	རྡོ་རྗེའི་ཚིག་གི་སྙིང་པོ་བསྡུས་པ་ཞེས་བྱ་བ
Q2107	རྡོ་རྗེའི་ཚིག་གི་སྙིང་པོ་བསྡུས་པ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
Q2108	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་རབ་ཏུ་གནས་པའི་ཆོ་ག་ཞེས་བྱ་བ
Q2109	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་ཚོགས་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
Q2110	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྦྱིན་སྲེག་གི་ཆོ་ག་ཞེས་བྱ་བ
Q2111	འཕགས་པ་མཚན་ཡང་དག་པར་བརྗོད་པ་༼མདོར་བཤད་༽བདུད་རྩིའི་ཐིག་པ་ཞེས་བྱ་བ
Q2112	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་འགྲེལ་པ་བདུད་རྩིའི་ཐིགས་པ་སྒྲོན་མ་གསལ་བ་ཞེས་བྱ་བ
Q2113	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་རྣམ་པར་བཤད་པ
Q2114	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་འགྲེལ་པ་དྲི་མ་མེད་པའི་འོད་ཅེས་བྱ་བ
Q2115	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་ཕན་ཡོན་གྱི་འགྲེལ་པ
Q2116	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་མངོན་པར་རྟོགས་པ
Q2117	མངོན་པར་བརྗོད་པ་འབུམ་པ་ལས་ཕྱུང་བ་ཉུང་ངུའི་རྒྱུད་ཀྱི་བསྡུས་པའི་དོན་རྣམ་པར་བཤད་པ་ཞེས་བྱ་བ
Q2118	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀའ་འགྲེལ་སྒྲུབ་པའི་ཐབས་ཀྱི་གླེང་གཞི་ཞེས་བྱ་བ
Q2119	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ
Q2120	རིན་པོ་ཆེའི་ཚོགས་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
Q2121	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀའ་འགྲེལ་དཔའ་བོའི་ཡིད་དུ་འོང་བ་ཞེས་བྱ་བ
Q2122	དཔལ་འཁོར་ལོ་སྡོམ་པ་རྩ་བའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
Q2123	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་གནས་༼པའི་མན་ངག་༽ཐམས་ཅད་རྒྱ་ཆེར་འགྲེལ་པ་ཞེས་བྱ་བ
Q2124	ཡོན་ཏན་མ་ལུས་པའི་གནས་ཞེས་བྱ་བའི་འགྲེལ་པ
Q2125	གཉིས་ཀའི་བཤད་སྦྱོར་ཞེས་བྱ་བ
Q2126	དཔལ་སྡོམ་པའི་འགྲེལ་པ་དཔལ་དེ་ཁོ་ན་ཉིད་མཁས་པ་ཞེས་བྱ་བ
Q2127	སྡོམ་པའི་རྒྱུད་ཆུང་ངུའི་མཚམས་སྦྱོར
Q2128	དཔལ་བདེ་མཆོག་གི་༼རྩ་རྒྱུད་ཀྱི་༽རྒྱ་ཆེར་བཤད་པ་ཚིག་དོན་རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བ
Q2129	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་བདེ་མཆོག་བསྡུས་པ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
Q2130	རྩ་བའི་རྒྱུད་ཀྱི་སྙིང་པོ་འདུས་པ་ངེས་པར་བརྗོད་པའི་རྒྱུད་བླ་མ་རྩ་བ་རྩ་བའི་འགྲེལ་པ
Q2131	རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་རྡོ་རྗེ་མཁའ་འགྲོ་ཤེས་བྱ་བའི་རྣམ་པར་བཤད་པ
Q2132	དཔལ་རྡོ་རྗེ་མཁའ་འགྲོ་རྒྱུད་ཀྱི་དེ་ཁོ་ན་ཉིད་རབ་ཏུ་བརྟན་པར་བྱེད་པ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
Q2133	གསང་བ་རྡོ་རྗེའི་རྒྱུད་ཀྱི་༼རྒྱལ་པོའི་༽འགྲེལ་པ
Q2134	དཔལ་གསང་ཆེན་པདམ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་པ
Q2135	རྡོ་རྗེ་མཁའ་འགྲོའི་རྣམ་པར་འགྲེལ་པའི་བཤད་སྦྱར་ཞེས་བྱ་བ
Q2136	དཔལ་མཁའ་འགྲོ་རྒྱ་མཚོ་རྣལ་འབྱོར་མའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་འགྲེལ་པ་གྲུ་གཟིངས་ཞེས་བྱ་བ
Q2137	དཔལ་སྡོམ་པ་འབྱུང་བའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་དཀའ་འགྲེལ་པདམ་ཅན་ཞེས་བྱ་བ
Q2138	དཔལ་ཧེ་རུ་ཀ་མངོན་པར་འབྱུང་བ་རྣལ་འབྱོར་མའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་དཀའ་འགྲེལ་ཡི་གེ་ཉུང་ངུ
Q2139	རྣལ་འབྱོར་མ་ཀུན་ཏུ་སྤྱོད་པའི་བཤད་སྦྱར
Q2140	རྣལ་འབྱོར་མ་ཀུན་ཏུ་སྤྱོད་མའི་བཤད་༼སྦྱར༽་ཚིག་དོན་རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བ
Q2141	ནམ་མཁའ་དང་མཉམ་པ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་པ
Q2142	དཔལ་འཁོར་ལོ་སྡོམ་པའི་མཚན་བརྒྱ་རྩ་བརྒྱད་པའི་བསྟོད་པ
Q2143	དེ་ཁོ་ན་ཉིད་ཀྱི་སྙིང་པོ་སྒྲུབ་པ་ཞེས་བྱ་བ
Q2144	དཔལ་བཅོམ་ལྡན་འདས་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ
Q2145	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་དེ་ཁོ་ན་ཉིད་བསྡུས་པ་ཞེས་བྱ་བ
Q2146	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་དེ་ཁོ་ན་ཉིད་ལ་འཇུག་པ་ཞེས་བྱ་བ
Q2147	དཔལ་འཁོར་ལོ་སྡོམ་པའི་བསྟོད་པ་དོན་ཐམས་ཅད་འགྲུབ་པ་རྣམ་དག་གཙུག་གི་ནོར་བུ་ཞེས་བྱ་བ
Q2148	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དབང་གི་བྱ་བ་མདོར་བསྡུས་པ་ཞེས་བྱ་བ
Q2149	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་པའི་ཐབས
Q2150	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རིམ་པ་ལྔ་པ
Q2151	མན་ངག་ལུས་ཀྱི་དཀྱིལ་འཁོར་གྱི་མངོན་པར་རྟོགས་པ
Q2152	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རིམ་པ་ལྔ་པའི་འགྲེལ་པ
Q2153	བདེ་མཆོག་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས
Q2154	བཅོམ་ལྡན་འདས་དཔལ་འཁོར་ལོ་བདེ་མཆོག་སྒྲུབ་པའི་ཐབས་རིན་པོ་ཆེ་ཡིད་བཞིན་གྱི་ནོར་བུ་ཞེས་བྱ་བ
Q2155	དཔལ་བདེ་མཆོག་ཕྱག་གཉིས་པའི་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས
Q2156	ཚོགས་ཀྱི་འཁོར་ལོའི་ཆོ་ག
Q2157	དཔལ་འཁོར་ལོ་སྡོམ་པའི་བསྟོད་པ
Q2158	དཀྱིལ་འཁོར་གྱི་ལྷ་ལ་བསྟོད་པ་རིན་པོ་ཆེ་སྒྱུ་འཕྲུལ་སྦྱིན་པ་ཞེས་བྱ་བ
Q2159	དཔལ་རྡོ་རྗེ་མཁའ་འགྲོའི་བསྟོད་པ་རྒྱུན་ཆགས་ཞེས་བྱ་བ
Q2160	བཅོམ་ལྡན་འདས་དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་སྒྲུབ་ཐབས་རིན་པོ་ཆེ་གཙུག་གི་ནོར་བུ་ཞེས་བྱ་བ
Q2161	དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་རིན་པོ་ཆེ་རབ་ཏུ་གསལ་བའི་སྒྲོན་མ་ཞེས་བྱ་བ
Q2162	དཔལ་འཁོར་ལོ་སྡོམ་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
Q2163	བཅོམ་ལྡན་འདས་དཔལ་བདེ་མཆོག་འཁོར་ལོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
Q2164	བཅོམ་ལྡན་འདས་དཔལ་བདེ་མཆོག་འཁོར་ལོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
Q2165	དཔལ་བདེ་མཆོག་འཁོར་ལོའི་སྦྱིན་སྲེག་གི་ཆ་ག
Q2166	དབྱིད་ཀྱི་ཐིག་ལེ་ཞེས་བྱ་བ
Q2167	གསང་བའི་དེ་ཁོ་ན་ཉིད་རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བ
Q2168	རིམ་པ་བཞི་པོ
Q2169	རིམ་པ་བཞིའི་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་བ
Q2170	ཡི་གེ་བདུན་པའི་སྒྲུབ་ཐབས
Q2171	དཔལ་རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2172	དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་རྒྱུན་བཤགས་བསྡུས་པ
Q2173	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྙིང་པོའི་དེ་ཁོ་ན་ཉིད་གྲུབ་པ
Q2174	དཔལ་ལྷན་ཅིག་སྐྱེས་པའི་མན་ངག་བདག་བྱིན་གྱིས་བརླབ་པ་ཞེས་བྱ་བ
Q2175	དཔལ་ལྷན་ཅིག་སྐྱེས་པ་བདེ་བའི་མཆོག་བདག་བྱིན་གྱིས་བརླབ་པ་ཞེས་བྱ་བ
Q2176	དཔལ་ལྷན་ཅིག་སྐྱེས་པ་བདེ་བའི་མཆོག་བདག་བྱིན་གྱིས་བརླབས་པ་ཞེས་བྱ་བ
Q2177	སྡོམ་པ་བཤད་པ
Q2178	ཡི་གེ་བདུན་པའི་སྒྲུབ་ཐབས
Q2179	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་བདུད་རྩི་འཛག་པ་ཞེས་བྱ་བ
Q2180	བདེ་མཆོག་ཤེས་པར་བྱེད་པ་ཞེས་བྱ་བ
Q2181	དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2182	དཔལ་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
Q2183	དཔལ་འཁོར་ལོ་སྡོམ་པའི་ཕྱི་རོལ་གྱི་མཆོད་པའི་ཆོ་ག
Q2184	དཔལ་འཁོར་ལོ་སྡོམ་པའི་གཏོར་མའི་ཆོ་ག
Q2185	དཔལ་འཁོར་ལོ་སྡོམ་པའི་ལག་མཆོད་ཀྱི་ཆོ་ག་ཞེས་བྱ་བ
Q2186	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་ཆོ་ག་མདོར་བསྡུས་པ་ཞེས་བྱ་བ
Q2187	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དབང་གི་བྱ་བའི་རིམ་པ
Q2188	དཔལ་བདེ་མཆོག་གི་སྦྱིན་སྲེག་སྤྱི་ཡི་ཏི་པ་ན
Q2189	དཔལ་འཁོར་ལོ་སྡོམ་པ་ཞི་བའི་ཆོ་ག
Q2190	དཔལ་བདེ་མཆོག་གི་སཱ་ཙཚའི་ཆོ་ག
Q2191	འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས
Q2192	དཔལ་༼འཁོར་ལོ་༽བདེ་མཆོག་གི་དཀྱིལ་འཁོར་བྱ་བའི་ཐབས་ཞེས་བྱ་བ
Q2193	དཔལ་ལྷན་ཅིག་སྐྱེས་པའི་བདེ་བའི་མཆོག་བདག་བྱིན་གྱིས་རླབ་པ་ཞེས་བྱ་བ
Q2194	དཔའ་བོ་གཅིག་པ་ཧེ་རུ་ཀའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2195	དཔལ་ཧེ་རུ་ཀའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2196	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ
Q2197	དེ་ཁོ་ན་སྙིང་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
Q2198	ཧེ་རུ་ཀའི་རྣམ་པར་དག་པ
Q2199	རྗེ་བཙུན་དཔལ་ཧེ་རུ་ཀ་སྒྲུབ་པའི་ཐབས་མདོར་བསྡུས་པ་ཞེས་བྱ་བ
Q2200	ཡི་གེ་བདུན་པའི་སྒྲུབ་ཐབས
Q2201	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ
Q2202	དཔལ་འཁོར་ལོ་སྡོམ་པའི་མན་ངག་ཅེས་བྱ་བ
Q2203	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རབ་གནས
Q2204	བཅུ་གསུམ་གྱི་བདག་ཉིད་དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
Q2205	མངོན་པར་རྟོགས་པ་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་བ
Q2206	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས
Q2207	དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ
Q2208	དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2209	རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ
