G1	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
G65	བསྡུས་པའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་དུས་ཀྱི་འཁོར་ལོའི་འགྲེལ་བཤད་རྩ་བའི་རྒྱུད་ཀྱི་རྗེས་སུ་འཇུག་པ་སྟོང་ཕྲག་བཅུ་པ་བཅུ་གཉིས་པ་དྲི་མ་མེད་པའི་འོད་ཅེས་བྱ་བ
G66	དཔལ་དོན་དམ་པའི་བསྙེན་པ
G67	དཔལ་ལྡན་དྲི་མ་དང་བྲལ་བའི་འོད་ཀྱི་རྒྱུད་ལ་འཇུག་པའི་བཤད་སྦྱར་སྙིང་པོ་སྣང་བ
G68	པདམ་ཅན་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
G69	དབང་མདོར་བསྟན་པའི་འགྲེལ་བཤད་དོན་དམ་པ་བསྡུས་པ་ཞེས་བྱ་བ
G70	དབང་མདོར་བསྟན་པའི་མདོར་བཤད
G71	དབང་མདོར་བསྟན་པའི་རྒྱ་ཆེར་འགྲེལ་པ་ཞེས་བྱ་བ
G72	དབང་མདོར་བསྟན་པའི་དཀའ་འགྲེལ
G73	རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་དུས་ཀྱི་འཁོར་ལོའི་དབང་གི་རབ་ཏུ་བྱེད་པའི་འགྲེལ་པ་རྡོ་རྗེའི་ཚིག་འབྱེད་པ་ཞེས་བྱ་བ
G74	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྒྲུབ་པའི་ཐབས་ཡན་ལག་བཞི་པ་ཞེས་བྱ་བ
G75	དཔལ་ལྡན་རྒྱུ་སྐར་གྱི་དཀྱིལ་འཁོར་གྱི་སྒྲུབ་ཐབས་ཡན་ལག་བཅུ་གཅིག་པ་ཞེས་བྱ་བ
G76	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
G77	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
G78	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་དཀྱིལ་འཁོར་ཆོ་ག
G79	དཔལ་དུས་ཀྱི་འཁོར་ལོ་ལྷན་ཅིག་སྐྱེས་པ་སྒྲུབ་པའི་ཐབས
G80	དཔལ་དུས་ཀྱི་འཁར་ལོ་སྐད་ཅིག་གིས་བསྐྱེད་པའི་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G81	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ
G82	དཔལ་དུས་ཀྱི་འཁོར་ལོ་སྙིང་པོའི་རྒྱན་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
G83	དུས་ཀྱི་འཁོར་ལོའི་མན་ངག
G84	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ
G85	སྦྱོར་བ་ཡན་ལག་དྲུག་པའི་འགྲེལ་པ
G86	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་གདམས་ངག་ཉི་མ་ཟླ་བ་སྒྲུབ་པ་ཞེས་བྱ་བ
G87	ཡེ་ཤེས་སྤྱན་སྒྲུབ་པ་ཞེས་བྱ་བ
G88	རྣལ་འབྱོར་གསུམ་གྱི་སྙིང་པོ་གསལ་བ་ཞེས་བྱ་བ
G89	སྦྱོར་བ་ཡན་ལག་དྲུག་གི་མན་ངག་རྗེ་དུས་འཁོར་ཞབས་ཀྱི་ས་མད༄ཟད་པའི་སྙན་རྒྱུད་༄ཞལ་གྱི་གདམས
G90	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་མན་ངག་སྦྱོར་བ་ཡན་ལག་དྲུག་གི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་ཞེས་བྱ་བ
G91	ཡན་ལག་དྲུག་གི་སྦྱོར་བའི་མན་ངག
G92	རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ
G93	སྦྱོར་བའི་ཕྲེང་བ
G94	ནང་གི་སྙེ་མ་ཞེས་བྱ་བ
G95	རྡོ་རྗེ་ཐེག་པ་དུས་ཀྱི་འཁོར་ལོའི་རྩ་བའི་ལྟུང་བ
G96	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྡོམ་ཚིག
G97	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་བསྟོད་པ་རྒྱུན་ཆགས་པ་ཞེས་བྱ་བ
G98	བརྒྱད་བརྒྱད་དྲུག་ཅུ་རྩ་བཞིའི་རྣལ་འབྱོར་མ་རྣམས་ཀྱི་གཏོར་མའི་ཆོ་ག་ཞེས་བྱ་བ
G99	དུས་ཀྱི་འཁོར་ལོ་ལ་འཇུག་པ་ཞེས་བྱ་བ
G100	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་རྩིས་ཀྱི་མན་ངག་ཅེས་བྱ་བ
G101	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་རྩིས་ཀྱི་མན་ངག་ཅེས་བྱ་བ
G102	གཟའ་ལྔ་སོ་སོའི་རྩིས་ཀྱི་མན་ངག་ཅེས་བྱ་བ
G103	སྦྱོར་བ་ཡན་ལག་དྲུག་པ
G104	རྣལ་འབྱོར་ཡན་ལག་དྲུག་གི་བརྗེད་བྱང་ཡོན་ཏན་གྱིས་འགེངས་པ་ཞེས་བྱ་བ
G105	དབང་མདོར་བསྟན་པའི་བརྗེད་བྱང
G106	རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས
G107	རྡོ་རྗེའི་ཚིག་གི་སྙིང་པོ་བསྡུས་པ་ཞེས་བྱ་བ
G108	རྡོ་རྗེའི་ཚིག་གི་སྙིང་པོ་བསྡུས་པ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
G109	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་རབ་ཏུ་གནས་པའི་ཆོ་ག་ཞེས་བྱ་བ
G110	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་ཚོགས་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
G111	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྦྱིན་སྲེག་གི་ཆོ་ག་ཞེས་བྱ་བ
G112	ཕགས་པ་མཚན་ཡང་དག་པར་བརྗོད་པ་མདོར་བཤད་བདུད་རྩིའི་ཐིག་པ་༄ཞེས་བྱ་བ
G113	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་འགྲེལ་པ་བདུད་རྩིའི་ཐིགས་པ་སྒྲོན་མ་གསལ་བ་ཞེས་བྱ་བ
G114	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་རྣམ་པར་བཤད་པ
G115	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་འགྲེལ་པ་དྲི་མ་མེད་པའི་འོད་ཅེས་བྱ་བ
G116	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་ཕན་ཡོན་གྱི་འགྲེལ་པ
G117	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་མངོན་པར་རྟོགས་པ
G118	མངོན་པར་བརྗོད་པ་འབུམ་པ་ལས་ཕྱུང་བ་ཉུང་ངུའི་རྒྱུད་ཀྱི་བསྡུས་པའི་དོན་རྣམ་པར་བཤད་པ་ཞེས་བྱ་བ
G119	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀའ་འགྲེལ་སྒྲུབ་པའི་ཐབས་ཀྱི་གླེང་གཞི་ཞེས་བྱ་བ
G120	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ
G121	རིན་པོ་ཆེའི་ཚོགས་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
G122	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀའ་འགྲེལ་དཔའ་བོའི་ཡིད་དུ་འོང་བ་ཞེས་བྱ་བ
G123	དཔལ་འཁོར་ལོ་སྡོམ་པ་རྩ་བའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
G124	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་གནས་པའི་མན་ངག་ཐམས་ཅད་རྒྱ་ཆེར་འགྲེལ་པ་ཞེས་བྱ་བ
G125	ཡོན་ཏན་མ་ལུས་པའི་གནས་ཞེས་བྱ་བའི་འགྲེལ་པ
G126	གཉིས་ཀའི་བཤད་སྦྱོར་ཞེས་བྱ་བ
G127	དཔལ་སྡོམ་པའི་འགྲེལ་པ་དཔལ་དེ་ཁོ་ན་ཉིད་མཁས་པ་ཞེས་བྱ་བ
G128	སྡོམ་པའི་རྒྱུད་ཆུང་ངུའི་མཚམས་སྦྱོར
G129	དཔལ་བདེ་མཆོག་གི་རྩ་རྒྱུད་ཀྱི་རྒྱ་ཆེར་བཤད་པ་ཚིག་དོན་རབ་ཏུ་གསལ་བ་༄ཞེས་བྱ་བ
G130	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་བདེ་མཆོག་བསྡུས་པ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
G131	རྩ་བའི་རྒྱུད་ཀྱི་སྙིང་པོ་འདུས་པ་ངེས་པར་བརྗོད་པའི་རྒྱུད་བླ་མ་རྩ་བ་རྩ་བའི་འགྲེལ་པ
G132	རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་རྡོ་རྗེ་མཁའ་འགྲོ་ཤེས་བྱ་བའི་རྣམ་པར་བཤད་པ
G133	དཔལ་རྡོ་རྗེ་མཁའ་འགྲོ་རྒྱུད་ཀྱི་དེ་ཁོ་ན་ཉིད་རབ་ཏུ་བརྟན་པར་བྱེད་པ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
G134	གསང་བ་རྡོ་རྗེའི་རྒྱུད་ཀྱི་རྒྱལ་པོའི་འགྲེལ་པ
G135	དཔལ་གསང་ཆེན་པདམ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་པ
G136	རྡོ་རྗེ་མཁའ་འགྲོའི་རྣམ་པར་འགྲེལ་པའི་བཤད་སྦྱར་ཞེས་བྱ་བ
G138	དཔལ་མཁའ་འགྲོ་རྒྱ་མཚོ་རྣལ་འབྱོར་མའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་འགྲེལ་པ་གྲུ་གཟིངས་ཞེས་བྱ་བ
G139	དཔལ་སྡོམ་པ་འབྱུང་བའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་དཀའ་འགྲེལ་པདམ་ཅན་ཞེས་བྱ་བ
G140	དཔལ་ཧེ་རུ་ཀ་མངོན་པར་འབྱུང་བ་རྣལ་འབྱོར་མའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་དཀའ་འགྲེལ་ཡི་གེ་ཉུང་ངུ
G141	རྣལ་འབྱོར་མ་ཀུན་ཏུ་སྤྱོད་པའི་བཤད་སྦྱར
G142	རྣལ་འབྱོར་མ་ཀུན་ཏུ་སྤྱོད་མའི་བཤད་སྦྱར་ཚིག་དོན་རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བ
G143	ནམ་མཁའ་དང་མཉམ་པ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་པ
G144	དཔལ་འཁོར་ལོ་སྡོམ་པའི་མཚན་བརྒྱ་རྩ་བརྒྱད་པའི་བསྟོད་པ
G145	དེ་ཁོ་ན་ཉིད་ཀྱི་སྙིང་པོ་སྒྲུབ་པ་ཞེས་བྱ་བ
G146	དཔལ་བཅོམ་ལྡན་འདས་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ
G147	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་དེ་ཁོ་ན་ཉིད་བསྡུས་པ་ཞེས་བྱ་བ
G148	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་དེ་ཁོ་ན་ཉིད་ལ་འཇུག་པ་ཞེས་བྱ་བ
G149	དཔལ་འཁོར་ལོ་སྡོམ་པའི་བསྟོད་པ་དོན་ཐམས་ཅད་འགྲུབ་པ་རྣམ་དག་གཙུག་གི་ནོར་བུ་ཞེས་བྱ་བ
G150	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དབང་གི་བྱ་བ་མདོར་བསྡུས་པ་ཞེས་བྱ་བ
G151	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་པའི་ཐབས
G152	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རིམ་པ་ལྔ་པ
G153	མན་ངག་ལུས་ཀྱི་དཀྱིལ་འཁོར་གྱི་མངོན་པར་རྟོགས་པ
G154	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རིམ་པ་ལྔ་པའི་འགྲེལ་པ
G155	བདེ་མཆོག་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས
G156	བཅོམ་ལྡན་འདས་དཔལ་འཁོར་ལོ་བདེ་མཆོག་སྒྲུབ་པའི་ཐབས་རིན་པོ་ཆེ་ཡིད་བཞིན་གྱི་ནོར་བུ་ཞེས་བྱ་བ
G157	དཔལ་བདེ་མཆོག་ཕྱག་གཉིས་པའི་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས
G158	ཚོགས་ཀྱི་འཁོར་ལོའི་ཆོ་ག
G159	དཔལ་འཁོར་ལོ་སྡོམ་པའི་བསྟོད་པ
G160	དཀྱིལ་འཁོར་གྱི་ལྷ་ལ་བསྟོད་པ་རིན་པོ་ཆེ་སྒྱུ་འཕྲུལ་སྦྱིན་པ་ཞེས་བྱ་བ
G161	དཔལ་རྡོ་རྗེ་མཁའ་འགྲོའི་བསྟོད་པ་རྒྱུན་ཆགས་ཞེས་བྱ་བ
G162	བཅོམ་ལྡན་འདས་དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་སྒྲུབ་ཐབས་རིན་པོ་ཆེ་གཙུག་གི་ནོར་བུ་ཞེས་བྱ་བ
G163	དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་རིན་པོ་ཆེ་རབ་ཏུ་གསལ་བའི་སྒྲོན་མ་ཞེས་བྱ་བ
G164	དཔལ་འཁོར་ལོ་སྡོམ་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
G165	བཅོམ་ལྡན་འདས་དཔལ་བདེ་མཆོག་འཁོར་ལོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G166	བཅོམ་ལྡན་འདས་དཔལ་བདེ་མཆོག་འཁོར་ལོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G167	དཔལ་བདེ་མཆོག་འཁོར་ལོའི་སྦྱིན་སྲེག་གི་ཆོ་ག
G168	དབྱིད་ཀྱི་ཐིག་ལེ་ཞེས་བྱ་བ
G169	གསང་བའི་དེ་ཁོ་ན་ཉིད་རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བ
G170	རིམ་པ་བཞི་པོ
G171	རིམ་པ་བཞིའི་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་བ
G172	ཡི་གེ་བདུན་པའི་སྒྲུབ་ཐབས
G173	དཔལ་རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G174	དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་རྒྱུན་བཤགས་བསྡུས་པ
G175	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྙིང་པོའི་དེ་ཁོ་ན་ཉིད་གྲུབ་པ
G176	དཔལ་ལྷན་ཅིག་སྐྱེས་པའི་མན་ངག་བདག་བྱིན་གྱིས་བརླབ་པ་ཞེས་བྱ་བ
G177	དཔལ་ལྷན་ཅིག་སྐྱེས་པ་བདེ་བའི་མཆོག་བདག་བྱིན་གྱིས་བརླབ་པ་ཞེས་བྱ་བ
G178	དཔལ་ལྷན་ཅིག་སྐྱེས་པ་བདེ་བའི་མཆོག་བདག་བྱིན་གྱིས་བརླབས་པ་ཞེས་བྱ་བ
G179	སྡོམ་པ་བཤད་པ
G180	ཡི་གེ་བདུན་པའི་སྒྲུབ་ཐབས
G181	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་བདུད་རྩི་འཛག་པ་ཞེས་བྱ་བ
G182	བདེ་མཆོག་ཤེས་པར་བྱེད་པ་ཞེས་བྱ་བ
G183	དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G184	དཔལ་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
G185	དཔལ་འཁོར་ལོ་སྡོམ་པའི་ཕྱི་རོལ་གྱི་མཆོད་པའི་ཆོ་ག
G186	དཔལ་འཁོར་ལོ་སྡོམ་པའི་གཏོར་མའི་ཆོ་ག
G187	དཔལ་འཁོར་ལོ་སྡོམ་པའི་ལག་མཆོད་ཀྱི་ཆོ་ག་ཞེས་བྱ་བ
G188	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་ཆོ་ག་མདོར་བསྡུས་པ་ཞེས་བྱ་བ
G189	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དབང་གི་བྱ་བའི་རིམ་པ
G190	དཔལ་བདེ་མཆོག་གི་སྦྱིན་སྲེག་སྤྱི་ཡི་ཏི་པ་ན
G191	དཔལ་འཁོར་ལོ་སྡོམ་པ་ཞི་བའི་ཆོ་ག
G192	དཔལ་བདེ་མཆོག་གི་སའ་ཙཚའི་ཆོ་ག
G193	ཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས
G194	དཔལ་ཁོར་ལོ་བདེ་མཆོག་གི་དཀྱིལ་འཁོར་བྱ་བའི་ཐབས་ཞེས་བྱ་བ
G195	དཔལ་ལྷན་ཅིག་སྐྱེས་པའི་བདེ་བའི་མཆོག་བདག་བྱིན་གྱིས་རླབ་པ་ཞེས་བྱ་བ
G196	དཔའ་བོ་གཅིག་པ་ཧེ་རུ་ཀའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G197	དཔལ་ཧེ་རུ་ཀའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G198	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ
G199	དེ་ཁོ་ན་སྙིང་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
G200	ཧེ་རུ་ཀའི་རྣམ་པར་དག་པ
G201	རྗེ་བཙུན་དཔལ་ཧེ་རུ་ཀ་སྒྲུབ་པའི་ཐབས་མདོར་བསྡུས་པ་ཞེས་བྱ་བ
G212	ཡི་གེ་བདུན་པའི་སྒྲུབ་ཐབས
G203	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ
G204	དཔལ་འཁོར་ལོ་སྡོམ་པའི་མན་ངག་ཅེས་བྱ་བ
G205	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རབ་གནས
G206	བཅུ་གསུམ་གྱི་བདག་ཉིད་དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G207	མངོན་པར་རྟོགས་པ་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་བ
G208	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས
G209	དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ
G210	དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G211	རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ
G212	རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུའི་འགྲེལ་པ
G213	སྤྱོད་པའི་གླུ
G214	སྤྱོད་པའི་གླུའི་འགྲེལ་པ
G215	དཔལ་འཁོར་ལོ་སྡོམ་པའི་མངོན་པར་རྟོགས་པ
G216	དབང་གི་རབ་ཏུ་བྱེད་པ
G217	རང་བྱིན་གྱིས་བརླབ་པའི་རིམ་པའི་མན་ངག་ཅེས་བྱ་བ
G218	ཇམ་དཔལ་རྡོ་རྗེའི་སྒྲུབ་ཐབས
G219	སྦྱིན་སྲེག་གི་ཆོ་ག
